politician_name,ticker,est_trade_size,report_date,open_price,close_date,close_price,return_factor,running_return,running_stdev,running_rr_ratio,pct_trade_size
Doug Lamborn,NTAP,32500.0,2023-08-31,73.60748291015625,2023-09-07,75.6803970336914,1.0281617308672995,0.9963639643182651,0.04078883996531451,24.42736702405708,0.05
Doug Lamborn,NTAP,32500.0,2023-08-31,73.60748291015625,2023-09-07,75.6803970336914,1.0281617308672995,0.9928308791461501,0.04160847722585611,23.861264466780117,0.05
Tom Carper,SOFI,8000.0,2023-09-05,8.75,2023-09-09,8.899999618530273,1.017142813546317,0.9891999637104454,0.06455698976907916,15.322894813541046,0.05
Tom Carper,ROK,8000.0,2023-09-05,296.35467529296875,2023-09-21,269.0923156738281,0.9080076614543376,0.9844239459306744,0.06553552852612005,15.021225403535416,0.05
Tom Carper,NEE,8000.0,2023-09-05,62.778167724609375,2023-09-28,54.12958526611328,0.8622358254156914,0.9776357170131753,0.06979759976030511,14.006724018741554,0.05
Tom Carper,RMD,8000.0,2023-09-05,150.99594116210938,2023-09-28,147.22817993164062,0.9750472681485943,0.9642522117769821,0.08870756329873326,10.870011258563693,0.05
Tom Carper,INOD,8000.0,2023-09-05,11.550000190734863,2023-09-28,8.229999542236328,0.7125540611538898,0.9636840509153183,0.09110096272542305,10.578198320690065,0.05
Michael Burgess,PRU,32500.0,2023-09-06,85.78324127197266,2023-09-21,88.19339752197266,1.0280958869618682,0.9916719005719171,0.05934832479154532,16.709349489729647,0.05
Michael Burgess,BBY,32500.0,2023-09-06,67.11717987060547,2023-09-21,64.9480972290039,0.967682154616995,0.9900882489897453,0.06016143222036876,16.45719213204723,0.05
Michael Burgess,UPS,32500.0,2023-09-06,145.69554138183594,2023-09-08,144.55552673339844,0.9921753635174753,0.9911067078248703,0.0613739131956603,16.148664085752817,0.05
Michael Burgess,UPS,32500.0,2023-09-06,145.69554138183594,2023-09-08,144.55552673339844,0.9921753635174753,0.9910558194585558,0.0628890710826554,15.758792464210618,0.05
Michael Burgess,CME,32500.0,2023-09-06,186.0621032714844,2023-09-08,188.294189453125,1.0119964578621565,0.9909998422556099,0.06452228875803952,15.359031139950545,0.05
Michael Burgess,CC,32500.0,2023-09-06,30.611841201782227,2023-09-08,29.38037872314453,0.9597716951907487,0.9898947572236864,0.06609560763368298,14.976710142524299,0.05
Michael Burgess,BX,32500.0,2023-09-06,102.06787872314452,2023-09-08,106.5800552368164,1.0442076054692095,0.9915682606699606,0.06759634447043596,14.66896277362505,0.05
Michael Burgess,AMD,8000.0,2023-09-06,109.27999877929688,2023-09-08,106.08999633789062,0.9708089085190346,0.9884718286229459,0.06834820022454632,14.462294915966927,0.05
Virginia Foxx,ARLP,8000.0,2023-09-06,15.483869552612305,2023-09-15,16.59499740600586,1.0717603470901171,0.9262149254532813,0.1140250705722829,8.122905960984555,0.05
Earl Blumenauer,SYY,8000.0,2023-09-07,65.44352722167969,2023-09-23,65.0934066772461,0.9946500355451867,1.0253004400586412,0.05367817899366331,19.10087971090967,0.05
